ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
313830,201407,169,26462.0
313835,201407,619,118890.0
313840,201407,3236,481035.0
313850,201407,648,98380.0
313860,201407,1070,146292.0
313862,201407,222,36685.0
313865,201407,1386,267240.0
313867,201407,619,86524.0
313868,201407,1052,220078.0
313870,201407,396,56403.0
313880,201407,906,146724.0
313890,201407,1130,156461.0
313900,201407,1872,284154.0
313910,201407,345,40682.0
313920,201407,2025,331024.0
313925,201407,991,145187.0
313930,201407,3177,624725.0
313940,201407,4390,622895.0
313950,201407,1923,281072.0
313960,201407,2181,270085.0
313970,201407,604,126964.0
313980,201407,458,78862.0
313990,201407,1017,142054.0
314000,201407,4020,729850.0
314010,201407,640,130536.0
314015,201407,479,80013.0
314020,201407,178,24738.0
314030,201407,369,54750.0
314040,201407,417,53673.0
314050,201407,633,100921.0
314053,201407,802,128101.0
314055,201407,1229,251054.0
314060,201407,715,137202.0
314070,201407,1399,201579.0
314080,201407,640,97305.0
314085,201407,1184,190103.0
314090,201407,1966,270134.0
314100,201407,1992,275716.0
314110,201407,1764,262911.0
314120,201407,251,31500.0
314130,201407,146,21429.0
314140,201407,3002,459339.0
314150,201407,909,130844.0
314160,201407,1276,252751.0
314170,201407,490,79116.0
314180,201407,3376,495513.0
314190,201407,311,43229.0
314200,201407,1944,349753.0
314210,201407,1176,185412.0
314220,201407,684,97821.0
314225,201407,831,146244.0
314230,201407,304,46650.0
314240,201407,518,78706.0
314250,201407,256,33718.0
314260,201407,429,65506.0
314270,201407,1766,358737.0
314280,201407,937,123716.0
314290,201407,3197,395826.0
314300,201407,860,121824.0
314310,201407,2073,299932.0
314315,201407,518,136355.0
314320,201407,1039,155062.0
314330,201407,26955,3807404.0
314340,201407,548,68931.0
314345,201407,706,125383.0
314350,201407,557,75376.0
314360,201407,205,29756.0
314370,201407,338,54873.0
314380,201407,461,64110.0
314390,201407,5548,801103.0
314400,201407,2872,405570.0
314410,201407,963,143597.0
314420,201407,480,108656.0
314430,201407,2664,388871.0
314435,201407,663,155013.0
314437,201407,371,92479.0
314440,201407,255,29327.0
314450,201407,869,123857.0
314460,201407,1595,219133.0
314465,201407,1620,295647.0
314467,201407,644,98235.0
314470,201407,778,105162.0
314480,201407,1830,262426.0
314490,201407,508,73227.0
314500,201407,712,115680.0
314505,201407,1093,172225.0
314510,201407,621,75804.0
314520,201407,750,114051.0
314530,201407,4619,852737.0
314535,201407,1624,290894.0
314537,201407,557,96691.0
314540,201407,183,27091.0
314545,201407,628,118467.0
314550,201407,228,36137.0
314560,201407,1710,277042.0
314570,201407,140,19332.0
314580,201407,188,27260.0
314585,201407,279,44714.0
314587,201407,1038,141626.0
314590,201407,606,86630.0
314600,201407,743,111285.0
314610,201407,3092,531069.0
314620,201407,1024,187048.0
314625,201407,933,223872.0
314630,201407,3112,646527.0
314640,201407,211,26022.0
314650,201407,420,68573.0
314655,201407,896,136374.0
314660,201407,117,16475.0
314670,201407,780,123514.0
314675,201407,1191,188613.0
314690,201407,1274,173968.0
314700,201407,2719,428028.0
314710,201407,1862,269922.0
314720,201407,1100,175279.0
314730,201407,922,138456.0
314740,201407,1379,200701.0
314750,201407,176,26841.0
314760,201407,618,85506.0
314770,201407,239,33858.0
314780,201407,121,18774.0
314790,201407,3826,519809.0
314795,201407,980,196942.0
314800,201407,3068,402552.0
314810,201407,4310,613106.0
314820,201407,309,46790.0
314830,201407,884,121578.0
314840,201407,589,133039.0
314850,201407,1100,189171.0
314860,201407,2186,356709.0
314870,201407,3783,700442.0
314875,201407,1243,210769.0
314880,201407,498,75185.0
314890,201407,177,23709.0
314900,201407,203,31962.0
314910,201407,620,91260.0
314915,201407,1721,354785.0
314920,201407,186,33501.0
314930,201407,1989,285904.0
314940,201407,287,38366.0
314950,201407,100,14684.0
314960,201407,290,41566.0
314970,201407,217,32750.0
314980,201407,609,80903.0
314990,201407,831,103646.0
314995,201407,1019,202006.0
315000,201407,567,103101.0
315010,201407,228,32811.0
315015,201407,1008,226595.0
315020,201407,295,48554.0
315030,201407,272,34774.0
315040,201407,617,83074.0
315050,201407,472,73040.0
315053,201407,537,79099.0
315057,201407,1082,176239.0
315060,201407,317,39206.0
315070,201407,324,55812.0
315080,201407,1722,280255.0
315090,201407,449,67940.0
315100,201407,378,65052.0
315110,201407,675,102006.0
315120,201407,5038,773477.0
315130,201407,498,75432.0
315140,201407,1078,168779.0
315150,201407,1472,214439.0
315160,201407,519,91309.0
315170,201407,740,127538.0
315180,201407,4019,597269.0
315190,201407,1250,159486.0
315200,201407,1741,260501.0
315210,201407,3245,461586.0
315213,201407,673,161722.0
315217,201407,1586,293129.0
315220,201407,6171,829100.0
315230,201407,1335,319799.0
315240,201407,1987,355855.0
315250,201407,2963,471162.0
315260,201407,322,39536.0
315270,201407,195,30909.0
315280,201407,607,83457.0
315290,201407,432,56001.0
315300,201407,215,26664.0
315310,201407,742,107524.0
315320,201407,400,71841.0
315330,201407,287,43872.0
315340,201407,1547,245272.0
315350,201407,1029,161028.0
315360,201407,695,110249.0
315370,201407,246,42396.0
315380,201407,69,9998.0
315390,201407,371,58626.0
315400,201407,2253,348084.0
315410,201407,1037,179521.0
315415,201407,581,83067.0
315420,201407,247,33406.0
315430,201407,1478,218930.0
315440,201407,499,86607.0
315445,201407,1324,201114.0
315450,201407,1457,262542.0
315460,201407,14785,2135672.0
315470,201407,214,44673.0
315480,201407,376,52925.0
315490,201407,1460,226246.0
315500,201407,185,27769.0
315510,201407,896,177730.0
315520,201407,667,114433.0
315530,201407,291,36718.0
315540,201407,523,92299.0
315550,201407,725,98983.0
315560,201407,4353,765152.0
315570,201407,1265,222325.0
315580,201407,933,149538.0
315590,201407,589,89994.0
315600,201407,1515,253096.0
315610,201407,455,61647.0
315620,201407,160,29872.0
315630,201407,279,41807.0
315640,201407,181,30280.0
315645,201407,371,46791.0
315650,201407,1171,183963.0
315660,201407,1657,250409.0
315670,201407,4389,673429.0
315680,201407,1513,209651.0
315690,201407,915,130972.0
315700,201407,3818,516613.0
315710,201407,962,188236.0
315720,201407,2017,345632.0
315725,201407,923,126439.0
315727,201407,236,47015.0
315730,201407,503,72778.0
315733,201407,396,52096.0
315737,201407,686,136384.0
315740,201407,568,78189.0
315750,201407,752,164476.0
315760,201407,729,156474.0
315765,201407,927,216065.0
315770,201407,654,103088.0
315780,201407,10057,1477486.0
315790,201407,2142,299259.0
315800,201407,636,96222.0
315810,201407,829,127265.0
315820,201407,1752,298580.0
315830,201407,501,84378.0
315840,201407,311,45730.0
315850,201407,720,98501.0
315860,201407,181,26753.0
315870,201407,235,32116.0
315880,201407,469,74294.0
315890,201407,904,132883.0
315895,201407,2091,351374.0
315900,201407,495,72752.0
315910,201407,363,55390.0
315920,201407,496,68938.0
315930,201407,485,63888.0
315935,201407,555,82386.0
315940,201407,344,50625.0
315950,201407,743,111512.0
315960,201407,1122,148022.0
315970,201407,286,44144.0
315980,201407,986,126504.0
315990,201407,1818,258704.0
316000,201407,268,36288.0
316010,201407,233,40479.0
316020,201407,644,114430.0
316030,201407,1585,224903.0
316040,201407,908,128074.0
316045,201407,1414,237168.0
316050,201407,205,29653.0
316060,201407,372,71133.0
316070,201407,2690,396441.0
316080,201407,282,44217.0
316090,201407,151,23820.0
316095,201407,914,121291.0
316100,201407,1073,148154.0
316105,201407,501,73258.0
316110,201407,7960,1347413.0
316120,201407,471,71030.0
316130,201407,502,79641.0
316140,201407,499,75817.0
316150,201407,804,118396.0
316160,201407,621,137393.0
316165,201407,476,83826.0
316170,201407,541,92224.0
316180,201407,498,75470.0
316190,201407,603,82997.0
316200,201407,1580,254273.0
316210,201407,1784,228371.0
316220,201407,193,25775.0
316225,201407,712,122777.0
316230,201407,187,29094.0
316240,201407,4202,835276.0
316245,201407,2167,573712.0
316250,201407,4296,542584.0
316255,201407,1457,236261.0
316257,201407,537,70019.0
316260,201407,893,118059.0
316265,201407,776,139409.0
316270,201407,2479,378139.0
316280,201407,2050,391979.0
316290,201407,1191,206097.0
316292,201407,1448,247575.0
316294,201407,191,29563.0
316295,201407,922,194496.0
316300,201407,640,133200.0
316310,201407,184,26558.0
316320,201407,145,23516.0
316330,201407,468,89981.0
316340,201407,467,65225.0
316350,201407,883,145479.0
316360,201407,403,53995.0
316370,201407,1688,228330.0
316380,201407,889,127247.0
316390,201407,410,53799.0
316400,201407,590,101996.0
316410,201407,723,113599.0
316420,201407,1280,269488.0
316430,201407,370,53335.0
316440,201407,261,39740.0
316443,201407,318,43631.0
316447,201407,950,155891.0
316450,201407,1335,221401.0
316460,201407,320,55500.0
316470,201407,2547,388269.0
316480,201407,86,12268.0
316490,201407,122,18481.0
316500,201407,317,40296.0
316510,201407,370,57751.0
316520,201407,543,83285.0
316530,201407,472,65752.0
316540,201407,401,65368.0
316550,201407,767,132116.0
316553,201407,626,101369.0
316555,201407,1902,527394.0
316556,201407,360,64926.0
316557,201407,599,82769.0
316560,201407,110,17207.0
316570,201407,666,89715.0
316580,201407,88,12476.0
316590,201407,721,95780.0
316600,201407,694,131514.0
316610,201407,357,73687.0
316620,201407,1175,166319.0
316630,201407,726,90580.0
316640,201407,81,13233.0
316650,201407,559,104686.0
316660,201407,31,4667.0
316670,201407,791,108420.0
316680,201407,870,186311.0
316690,201407,626,95320.0
316695,201407,671,115625.0
316700,201407,179,23836.0
316710,201407,1347,218328.0
316720,201407,5362,749570.0
316730,201407,179,26082.0
316740,201407,234,33196.0
316750,201407,221,35150.0
316760,201407,2164,267303.0
316770,201407,826,160990.0
316780,201407,283,37451.0
316790,201407,318,41557.0
316800,201407,3496,528158.0
316805,201407,448,69471.0
316810,201407,255,45565.0
316820,201407,91,12640.0
316830,201407,322,50914.0
316840,201407,1665,234162.0
316850,201407,1106,171076.0
316860,201407,8108,1301619.0
316870,201407,2317,314535.0
316880,201407,418,52242.0
316890,201407,541,69670.0
316900,201407,1024,156051.0
316905,201407,239,29734.0
316910,201407,321,49895.0
316920,201407,762,122916.0
316930,201407,3658,542757.0
316935,201407,1595,219476.0
316940,201407,2982,460364.0
316950,201407,841,191597.0
316960,201407,1790,298521.0
316970,201407,1800,239003.0
316980,201407,366,50372.0
316990,201407,4053,489094.0
317000,201407,2003,350450.0
317005,201407,1573,237864.0
317010,201407,6677,961554.0
317020,201407,11437,1707128.0
317030,201407,403,79957.0
317040,201407,4043,582791.0
317043,201407,396,72823.0
317047,201407,504,86162.0
317050,201407,656,119751.0
317052,201407,1745,377112.0
317057,201407,801,130238.0
317060,201407,140,20605.0
317065,201407,766,168483.0
317070,201407,2175,317998.0
317075,201407,392,56784.0
317080,201407,2803,377202.0
317090,201407,3270,529648.0
317100,201407,1254,172250.0
317103,201407,1187,214206.0
317107,201407,774,118630.0
317110,201407,141,21934.0
317115,201407,699,106287.0
317120,201407,3835,655204.0
317130,201407,3703,577840.0
317140,201407,313,62289.0
317150,201407,645,132851.0
317160,201407,1903,269395.0
317170,201407,994,123945.0
317180,201407,846,127705.0
317190,201407,890,165254.0
317200,201407,2038,305665.0
317210,201407,535,93628.0
317220,201407,200,35070.0
320010,201407,2702,358888.0
320013,201407,934,143381.0
320016,201407,1750,256316.0
320020,201407,1955,286421.0
320030,201407,779,94232.0
320035,201407,987,143287.0
320040,201407,1092,172193.0
320050,201407,950,134269.0
320060,201407,4520,711144.0
320070,201407,542,80264.0
320080,201407,2181,301813.0
320090,201407,4092,593111.0
320100,201407,1434,235395.0
320110,201407,661,99044.0
320115,201407,1242,167177.0
320120,201407,5608,833466.0
320130,201407,16716,2842791.0
