Ano;Região;UF;Código do Município;Nome do Município;Localização;Total Abandono Ens. Fundamental;Total Abandono no Ens. Médio
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Total;0.1;--
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Total;1;3.4
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Rural;0;0
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Rural;0;0
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Rural;0;--
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Rural;0;0
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Urbana;0.4;2.6
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Urbana;0.5;3.4
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Urbana;0;0.1
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Urbana;0.1;--
2014;Sudeste;SP;3549805;SAO JOSE DO RIO PRETO;Urbana;1;3.4
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Total;0.2;1.8
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Total;0.4;2.5
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Total;0;0
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Total;0.2;--
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Total;0.5;2.5
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Rural;0.3;--
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Rural;0.5;--
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Rural;0;--
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Rural;0.5;--
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Urbana;0.3;1.8
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Urbana;0.4;2.5
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Urbana;0;0
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Urbana;0.2;--
2014;Sudeste;SP;3549904;SAO JOSE DOS CAMPOS;Urbana;0.5;2.5
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Total;0.3;1.2
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Total;0.3;1.2
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Total;0;--
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Total;0.1;--
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Total;0.5;1.2
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Rural;0;--
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Rural;0;--
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Rural;0;--
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Urbana;0.3;1.2
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Urbana;0.3;1.2
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Urbana;0;--
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Urbana;0.1;--
2014;Sudeste;SP;3549953;SAO LOURENCO DA SERRA;Urbana;0.5;1.2
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Total;0.1;5.6
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Total;0.1;5.6
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Total;0.1;--
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Total;--;5.6
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Rural;0.3;--
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Rural;0.3;--
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Rural;0.3;--
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Urbana;0;5.6
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Urbana;0;5.6
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Urbana;0;--
2014;Sudeste;SP;3550001;SAO LUIS DO PARAITINGA;Urbana;--;5.6
2014;Sudeste;SP;3550100;SAO MANUEL;Total;0.6;1.6
2014;Sudeste;SP;3550100;SAO MANUEL;Total;0.7;1.8
2014;Sudeste;SP;3550100;SAO MANUEL;Total;0.1;0
2014;Sudeste;SP;3550100;SAO MANUEL;Total;0.1;--
2014;Sudeste;SP;3550100;SAO MANUEL;Total;1.3;1.8
2014;Sudeste;SP;3550100;SAO MANUEL;Rural;--;1.1
2014;Sudeste;SP;3550100;SAO MANUEL;Rural;--;1.1
2014;Sudeste;SP;3550100;SAO MANUEL;Rural;--;1.1
2014;Sudeste;SP;3550100;SAO MANUEL;Urbana;0.6;1.7
2014;Sudeste;SP;3550100;SAO MANUEL;Urbana;0.7;1.9
2014;Sudeste;SP;3550100;SAO MANUEL;Urbana;0.1;0
2014;Sudeste;SP;3550100;SAO MANUEL;Urbana;0.1;--
2014;Sudeste;SP;3550100;SAO MANUEL;Urbana;1.3;1.9
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Total;0.3;4.2
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Total;0.3;4.3
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Total;0.9;0
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Total;0.1;--
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Total;0.6;4.3
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Rural;0.2;3.1
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Rural;0.2;3.1
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Rural;0.2;--
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Rural;0.4;3.1
