Ano;Região;UF;Código do Município;Nome do Município;Localização;Total.2;Total  .2
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;0;0
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;0;--
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;0;0
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;0;0
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;0;--
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;0;--
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;0;--
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;0;0
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;0;0
2021;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;0;--
2021;Norte;RO;1100155;Ouro Preto do Oeste;Total;0.8;11.1
2021;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;0.8;11.1
2021;Norte;RO;1100155;Ouro Preto do Oeste;Rural;0;--
2021;Norte;RO;1100155;Ouro Preto do Oeste;Total;1.6;11.3
2021;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;1.6;11.3
2021;Norte;RO;1100155;Ouro Preto do Oeste;Total;0;--
2021;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;0;--
2021;Norte;RO;1100155;Ouro Preto do Oeste;Rural;0;--
2021;Norte;RO;1100155;Ouro Preto do Oeste;Total;0;0
2021;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;0;0
2021;Norte;RO;1100155;Ouro Preto do Oeste;Total;0.8;11.3
2021;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;0.8;11.3
2021;Norte;RO;1100155;Ouro Preto do Oeste;Rural;0;--
2021;Norte;RO;1100189;Pimenta Bueno;Total;0.6;6.3
2021;Norte;RO;1100189;Pimenta Bueno;Urbana;0.5;7
2021;Norte;RO;1100189;Pimenta Bueno;Rural;1.3;2.4
2021;Norte;RO;1100189;Pimenta Bueno;Total;1.1;6.5
2021;Norte;RO;1100189;Pimenta Bueno;Urbana;1.1;7.1
