Ano,Região,UF,Código do Município,Nome do Município,Localização,Total_abandono_EF2010,Total_abandono_EM2010
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Total,2.5,16
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Total,2.5,16
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Urbana,2.4,16
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Urbana,0,--
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Urbana,0,--
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Urbana,0.6,16
2010,Norte,RO,1100130,MACHADINHO D'OESTE,Urbana,0.7,16
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Rural,0,--
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Rural,0,--
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Rural,0,--
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Total,1,38.7
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Total,1.1,--
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Total,1,38.7
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Total,1,38.7
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Urbana,1,38.7
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Urbana,2.8,--
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Urbana,1.7,38.7
2010,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Urbana,1.7,38.7
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Rural,0,--
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Rural,0,--
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Rural,0,--
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Total,1.6,12.2
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Total,0.3,--
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Total,0,0
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Total,0.7,12.2
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Total,0.7,11.7
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Urbana,1.6,12.2
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Urbana,0.4,--
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Urbana,0,0
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Urbana,0.9,12.2
2010,Norte,RO,1100155,OURO PRETO DO OESTE,Urbana,0.8,11.7
2010,Norte,RO,1100189,PIMENTA BUENO,Rural,1.3,--
2010,Norte,RO,1100189,PIMENTA BUENO,Rural,1.3,--
2010,Norte,RO,1100189,PIMENTA BUENO,Rural,1.3,--
2010,Norte,RO,1100189,PIMENTA BUENO,Total,1.1,11.4
2010,Norte,RO,1100189,PIMENTA BUENO,Total,0.3,--
2010,Norte,RO,1100189,PIMENTA BUENO,Total,0,0
2010,Norte,RO,1100189,PIMENTA BUENO,Total,0.5,11.4
2010,Norte,RO,1100189,PIMENTA BUENO,Total,0.6,10.9
2010,Norte,RO,1100189,PIMENTA BUENO,Urbana,1.1,11.4
2010,Norte,RO,1100189,PIMENTA BUENO,Urbana,0,--
2010,Norte,RO,1100189,PIMENTA BUENO,Urbana,0,0
2010,Norte,RO,1100189,PIMENTA BUENO,Urbana,0.4,11.4
2010,Norte,RO,1100189,PIMENTA BUENO,Urbana,0.4,10.9
2010,Norte,RO,1100205,PORTO VELHO,Rural,3.1,22.3
2010,Norte,RO,1100205,PORTO VELHO,Rural,2.9,--
2010,Norte,RO,1100205,PORTO VELHO,Rural,2.9,22.3
2010,Norte,RO,1100205,PORTO VELHO,Rural,2.9,22.3
2010,Norte,RO,1100205,PORTO VELHO,Total,3.9,11.2
2010,Norte,RO,1100205,PORTO VELHO,Total,2.7,--
2010,Norte,RO,1100205,PORTO VELHO,Total,0.3,0.3
2010,Norte,RO,1100205,PORTO VELHO,Total,3,11.2
2010,Norte,RO,1100205,PORTO VELHO,Total,2.6,9.6
2010,Norte,RO,1100205,PORTO VELHO,Urbana,3.9,10.4
2010,Norte,RO,1100205,PORTO VELHO,Urbana,2.7,--
2010,Norte,RO,1100205,PORTO VELHO,Urbana,0.3,0.3
2010,Norte,RO,1100205,PORTO VELHO,Urbana,3,10.4
2010,Norte,RO,1100205,PORTO VELHO,Urbana,2.6,8.8
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Rural,3.1,21.3
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Rural,0,--
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Rural,1.8,21.3
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Rural,1.8,21.3
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Total,1.3,12.1
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Total,0,--
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Total,0,--
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Total,0.9,12.1
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Total,0.8,12.1
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Urbana,0.6,10.1
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Urbana,0,--
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Urbana,0,--
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Urbana,0.5,10.1
2010,Norte,RO,1100254,PRESIDENTE MEDICI,Urbana,0.4,10.1
2010,Norte,RO,1100262,RIO CRESPO,Total,--,10.6
2010,Norte,RO,1100262,RIO CRESPO,Total,0,--
2010,Norte,RO,1100262,RIO CRESPO,Total,0,10.6
2010,Norte,RO,1100262,RIO CRESPO,Total,0,10.6
2010,Norte,RO,1100262,RIO CRESPO,Urbana,--,10.6
2010,Norte,RO,1100262,RIO CRESPO,Urbana,0,--
2010,Norte,RO,1100262,RIO CRESPO,Urbana,0,10.6
2010,Norte,RO,1100262,RIO CRESPO,Urbana,0,10.6
2010,Norte,RO,1100288,ROLIM DE MOURA,Rural,0,--
2010,Norte,RO,1100288,ROLIM DE MOURA,Rural,0,--
