Ano,Região,UF,Código do Município,Nome do Município,Localização,Rede,Total_Abandono_EF2018,Total_Abandono_EM2018  
2018,Norte,RO,1100148,Nova Brasilândia D'Oeste,Rural,Pública,0,--
2018,Norte,RO,1100155,Ouro Preto do Oeste,Total,Total,0.8,4.2
2018,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Total,0.8,4.2
2018,Norte,RO,1100155,Ouro Preto do Oeste,Rural,Total,0.2,--
2018,Norte,RO,1100155,Ouro Preto do Oeste,Total,Estadual,1.7,4.3
2018,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Estadual,1.7,4.3
2018,Norte,RO,1100155,Ouro Preto do Oeste,Total,Municipal,0.1,--
2018,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Municipal,0,--
2018,Norte,RO,1100155,Ouro Preto do Oeste,Rural,Municipal,0.2,--
2018,Norte,RO,1100155,Ouro Preto do Oeste,Total,Privada,0,0
2018,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Privada,0,0
2018,Norte,RO,1100155,Ouro Preto do Oeste,Total,Pública,0.8,4.3
2018,Norte,RO,1100155,Ouro Preto do Oeste,Urbana,Pública,0.9,4.3
2018,Norte,RO,1100155,Ouro Preto do Oeste,Rural,Pública,0.2,--
2018,Norte,RO,1100189,Pimenta Bueno,Total,Total,1.7,9.4
2018,Norte,RO,1100189,Pimenta Bueno,Urbana,Total,1.8,11.2
2018,Norte,RO,1100189,Pimenta Bueno,Rural,Total,0.8,1.2
2018,Norte,RO,1100189,Pimenta Bueno,Total,Estadual,3.5,9.6
2018,Norte,RO,1100189,Pimenta Bueno,Urbana,Estadual,3.5,11.6
2018,Norte,RO,1100189,Pimenta Bueno,Rural,Estadual,--,1.2
2018,Norte,RO,1100189,Pimenta Bueno,Total,Municipal,0.3,--
2018,Norte,RO,1100189,Pimenta Bueno,Urbana,Municipal,0.3,--
2018,Norte,RO,1100189,Pimenta Bueno,Rural,Municipal,0.8,--
2018,Norte,RO,1100189,Pimenta Bueno,Total,Privada,0,0
2018,Norte,RO,1100189,Pimenta Bueno,Urbana,Privada,0,0
2018,Norte,RO,1100189,Pimenta Bueno,Total,Pública,1.7,9.6
2018,Norte,RO,1100189,Pimenta Bueno,Urbana,Pública,1.9,11.6
2018,Norte,RO,1100189,Pimenta Bueno,Rural,Pública,0.8,1.2
2018,Norte,RO,1100205,Porto Velho,Total,Total,1.8,7.3
2018,Norte,RO,1100205,Porto Velho,Urbana,Total,1.6,6.9
2018,Norte,RO,1100205,Porto Velho,Rural,Total,3.6,14.1
2018,Norte,RO,1100205,Porto Velho,Total,Federal,--,0.3
2018,Norte,RO,1100205,Porto Velho,Urbana,Federal,--,0.3
2018,Norte,RO,1100205,Porto Velho,Total,Estadual,3,8.5
2018,Norte,RO,1100205,Porto Velho,Urbana,Estadual,2.7,8.2
2018,Norte,RO,1100205,Porto Velho,Rural,Estadual,7.1,14.1
2018,Norte,RO,1100205,Porto Velho,Total,Municipal,1.5,--
2018,Norte,RO,1100205,Porto Velho,Urbana,Municipal,0.9,--
2018,Norte,RO,1100205,Porto Velho,Rural,Municipal,3.4,--
2018,Norte,RO,1100205,Porto Velho,Total,Privada,0.1,0.4
2018,Norte,RO,1100205,Porto Velho,Urbana,Privada,0.1,0.4
2018,Norte,RO,1100205,Porto Velho,Rural,Privada,0.1,--
2018,Norte,RO,1100205,Porto Velho,Total,Pública,2.2,8
2018,Norte,RO,1100205,Porto Velho,Urbana,Pública,2,7.8
2018,Norte,RO,1100205,Porto Velho,Rural,Pública,4.2,14.1
2018,Norte,RO,1100254,Presidente Médici,Total,Total,0.3,0.9
2018,Norte,RO,1100254,Presidente Médici,Urbana,Total,0.1,0
2018,Norte,RO,1100254,Presidente Médici,Rural,Total,0.8,8.3
2018,Norte,RO,1100254,Presidente Médici,Total,Estadual,0.4,0.9
2018,Norte,RO,1100254,Presidente Médici,Urbana,Estadual,0.3,0
2018,Norte,RO,1100254,Presidente Médici,Rural,Estadual,0.9,8.3
2018,Norte,RO,1100254,Presidente Médici,Total,Municipal,0.2,--
2018,Norte,RO,1100254,Presidente Médici,Urbana,Municipal,0,--
2018,Norte,RO,1100254,Presidente Médici,Rural,Municipal,0.7,--
2018,Norte,RO,1100254,Presidente Médici,Total,Pública,0.3,0.9
2018,Norte,RO,1100254,Presidente Médici,Urbana,Pública,0.1,0
2018,Norte,RO,1100254,Presidente Médici,Rural,Pública,0.8,8.3
2018,Norte,RO,1100262,Rio Crespo,Total,Total,0.7,5.2
2018,Norte,RO,1100262,Rio Crespo,Urbana,Total,0.7,5.2
2018,Norte,RO,1100262,Rio Crespo,Total,Estadual,1.6,5.2
2018,Norte,RO,1100262,Rio Crespo,Urbana,Estadual,1.6,5.2
2018,Norte,RO,1100262,Rio Crespo,Total,Municipal,0.3,--
2018,Norte,RO,1100262,Rio Crespo,Urbana,Municipal,0.3,--
2018,Norte,RO,1100262,Rio Crespo,Total,Pública,0.7,5.2
2018,Norte,RO,1100262,Rio Crespo,Urbana,Pública,0.7,5.2
2018,Norte,RO,1100288,Rolim de Moura,Total,Total,0.5,4.6
2018,Norte,RO,1100288,Rolim de Moura,Urbana,Total,0.5,4.6
2018,Norte,RO,1100288,Rolim de Moura,Rural,Total,0.1,--
2018,Norte,RO,1100288,Rolim de Moura,Total,Estadual,1,4.8
2018,Norte,RO,1100288,Rolim de Moura,Urbana,Estadual,1,4.8
2018,Norte,RO,1100288,Rolim de Moura,Total,Municipal,0,--
2018,Norte,RO,1100288,Rolim de Moura,Urbana,Municipal,0,--
2018,Norte,RO,1100288,Rolim de Moura,Rural,Municipal,0.1,--
2018,Norte,RO,1100288,Rolim de Moura,Total,Privada,0,0
2018,Norte,RO,1100288,Rolim de Moura,Urbana,Privada,0,0
2018,Norte,RO,1100288,Rolim de Moura,Total,Pública,0.5,4.8
2018,Norte,RO,1100288,Rolim de Moura,Urbana,Pública,0.5,4.8
2018,Norte,RO,1100288,Rolim de Moura,Rural,Pública,0.1,--
2018,Norte,RO,1100296,Santa Luzia D'Oeste,Total,Total,0,0
2018,Norte,RO,1100296,Santa Luzia D'Oeste,Urbana,Total,0,0
2018,Norte,RO,1100296,Santa Luzia D'Oeste,Total,Estadual,0,0
2018,Norte,RO,1100296,Santa Luzia D'Oeste,Urbana,Estadual,0,0
2018,Norte,RO,1100296,Santa Luzia D'Oeste,Total,Municipal,0,--
2018,Norte,RO,1100296,Santa Luzia D'Oeste,Urbana,Municipal,0,--
2018,Norte,RO,1100296,Santa Luzia D'Oeste,Total,Pública,0,0
2018,Norte,RO,1100296,Santa Luzia D'Oeste,Urbana,Pública,0,0
2018,Norte,RO,1100304,Vilhena,Total,Total,0.6,7.6
2018,Norte,RO,1100304,Vilhena,Urbana,Total,0.7,7.6
2018,Norte,RO,1100304,Vilhena,Rural,Total,0.5,6.2
2018,Norte,RO,1100304,Vilhena,Total,Federal,--,1
2018,Norte,RO,1100304,Vilhena,Urbana,Federal,--,1
2018,Norte,RO,1100304,Vilhena,Total,Estadual,1.5,9.9
2018,Norte,RO,1100304,Vilhena,Urbana,Estadual,1.5,9.9
2018,Norte,RO,1100304,Vilhena,Rural,Estadual,0,6.2
2018,Norte,RO,1100304,Vilhena,Total,Municipal,0.2,--
2018,Norte,RO,1100304,Vilhena,Urbana,Municipal,0.2,--
2018,Norte,RO,1100304,Vilhena,Rural,Municipal,0.6,--
2018,Norte,RO,1100304,Vilhena,Total,Privada,0.1,0
2018,Norte,RO,1100304,Vilhena,Urbana,Privada,0.1,0
2018,Norte,RO,1100304,Vilhena,Total,Pública,0.7,8.3
2018,Norte,RO,1100304,Vilhena,Urbana,Pública,0.7,8.3
2018,Norte,RO,1100304,Vilhena,Rural,Pública,0.5,6.2
2018,Norte,RO,1100320,São Miguel do Guaporé,Total,Total,0,0.5
2018,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Total,0,0.5
2018,Norte,RO,1100320,São Miguel do Guaporé,Rural,Total,0,--
2018,Norte,RO,1100320,São Miguel do Guaporé,Total,Estadual,0.1,0.5
2018,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Estadual,0.1,0.5
2018,Norte,RO,1100320,São Miguel do Guaporé,Total,Municipal,0,--
2018,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Municipal,0,--
2018,Norte,RO,1100320,São Miguel do Guaporé,Rural,Municipal,0,--
2018,Norte,RO,1100320,São Miguel do Guaporé,Total,Privada,0,--
2018,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Privada,0,--
2018,Norte,RO,1100320,São Miguel do Guaporé,Total,Pública,0,0.5
2018,Norte,RO,1100320,São Miguel do Guaporé,Urbana,Pública,0,0.5
2018,Norte,RO,1100320,São Miguel do Guaporé,Rural,Pública,0,--
2018,Norte,RO,1100338,Nova Mamoré,Total,Total,4.4,11.2
2018,Norte,RO,1100338,Nova Mamoré,Urbana,Total,1.6,6
2018,Norte,RO,1100338,Nova Mamoré,Rural,Total,6.2,17.5
2018,Norte,RO,1100338,Nova Mamoré,Total,Estadual,6.3,11.2
2018,Norte,RO,1100338,Nova Mamoré,Urbana,Estadual,2,6
2018,Norte,RO,1100338,Nova Mamoré,Rural,Estadual,11.3,17.5
2018,Norte,RO,1100338,Nova Mamoré,Total,Municipal,3.5,--
2018,Norte,RO,1100338,Nova Mamoré,Urbana,Municipal,1.3,--
2018,Norte,RO,1100338,Nova Mamoré,Rural,Municipal,4.3,--
2018,Norte,RO,1100338,Nova Mamoré,Total,Privada,0,--
2018,Norte,RO,1100338,Nova Mamoré,Urbana,Privada,0,--
2018,Norte,RO,1100338,Nova Mamoré,Total,Pública,4.5,11.2
2018,Norte,RO,1100338,Nova Mamoré,Urbana,Pública,1.7,6
2018,Norte,RO,1100338,Nova Mamoré,Rural,Pública,6.2,17.5
2018,Norte,RO,1100346,Alvorada D'Oeste,Total,Total,0.2,1.6
2018,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Total,0.1,1.6
2018,Norte,RO,1100346,Alvorada D'Oeste,Rural,Total,0.7,--
2018,Norte,RO,1100346,Alvorada D'Oeste,Total,Estadual,0,1.6
2018,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Estadual,0,1.6
2018,Norte,RO,1100346,Alvorada D'Oeste,Total,Municipal,0.3,--
2018,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Municipal,0.2,--
2018,Norte,RO,1100346,Alvorada D'Oeste,Rural,Municipal,0.7,--
2018,Norte,RO,1100346,Alvorada D'Oeste,Total,Pública,0.2,1.6
2018,Norte,RO,1100346,Alvorada D'Oeste,Urbana,Pública,0.1,1.6
2018,Norte,RO,1100346,Alvorada D'Oeste,Rural,Pública,0.7,--
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Total,Total,3.7,13.4
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Total,3.3,13.4
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Total,4.1,--
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Total,Estadual,3,13.4
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Estadual,3.1,13.4
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Estadual,0,--
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Total,Municipal,3.9,--
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Municipal,3.5,--
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Municipal,4.1,--
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Total,Pública,3.7,13.4
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Urbana,Pública,3.3,13.4
2018,Norte,RO,1100379,Alto Alegre dos Parecis,Rural,Pública,4.1,--
2018,Norte,RO,1100403,Alto Paraíso,Total,Total,1.2,4.2
2018,Norte,RO,1100403,Alto Paraíso,Urbana,Total,1.1,4.2
2018,Norte,RO,1100403,Alto Paraíso,Rural,Total,1.2,--
2018,Norte,RO,1100403,Alto Paraíso,Total,Estadual,0.6,4.2
2018,Norte,RO,1100403,Alto Paraíso,Urbana,Estadual,0.6,4.2
2018,Norte,RO,1100403,Alto Paraíso,Total,Municipal,1.3,--
