Ano,Região,UF,Código do Município,Nome do Município,Localização,Rede,Total_Abandono_EF2013,Total_Abandono_EM2013
2013,Nordeste,PB,2512408,PUXINANA,Rural,Total,4.2,14.7
2013,Nordeste,PB,2512408,PUXINANA,Rural,Publico,4.2,14.7
2013,Nordeste,PB,2512408,PUXINANA,Rural,Municipal,4.1,--
2013,Nordeste,PB,2512408,PUXINANA,Rural,Estadual,4.9,14.7
2013,Nordeste,PB,2512408,PUXINANA,Urbana,Total,9.3,12
2013,Nordeste,PB,2512408,PUXINANA,Urbana,Publico,9.3,12
2013,Nordeste,PB,2512408,PUXINANA,Urbana,Municipal,3.3,--
2013,Nordeste,PB,2512408,PUXINANA,Urbana,Estadual,12.1,12
2013,Nordeste,PB,2512507,QUEIMADAS,Total,Total,6.2,20
2013,Nordeste,PB,2512507,QUEIMADAS,Total,Publico,6.9,21.2
2013,Nordeste,PB,2512507,QUEIMADAS,Total,Privada,0.4,1.2
2013,Nordeste,PB,2512507,QUEIMADAS,Total,Municipal,4.2,--
2013,Nordeste,PB,2512507,QUEIMADAS,Total,Estadual,20.2,21.2
2013,Nordeste,PB,2512507,QUEIMADAS,Rural,Total,3.3,--
2013,Nordeste,PB,2512507,QUEIMADAS,Rural,Publico,3.3,--
2013,Nordeste,PB,2512507,QUEIMADAS,Rural,Municipal,3.3,--
2013,Nordeste,PB,2512507,QUEIMADAS,Urbana,Total,7.8,20
2013,Nordeste,PB,2512507,QUEIMADAS,Urbana,Publico,9.3,21.2
2013,Nordeste,PB,2512507,QUEIMADAS,Urbana,Privada,0.4,1.2
2013,Nordeste,PB,2512507,QUEIMADAS,Urbana,Municipal,5,--
2013,Nordeste,PB,2512507,QUEIMADAS,Urbana,Estadual,20.2,21.2
2013,Nordeste,PB,2512606,QUIXABA,Total,Total,3.8,23.7
2013,Nordeste,PB,2512606,QUIXABA,Total,Publico,3.8,23.7
2013,Nordeste,PB,2512606,QUIXABA,Total,Municipal,3.8,--
2013,Nordeste,PB,2512606,QUIXABA,Total,Estadual,--,23.7
2013,Nordeste,PB,2512606,QUIXABA,Rural,Total,0,--
2013,Nordeste,PB,2512606,QUIXABA,Rural,Publico,0,--
2013,Nordeste,PB,2512606,QUIXABA,Rural,Municipal,0,--
2013,Nordeste,PB,2512606,QUIXABA,Urbana,Total,5.3,23.7
2013,Nordeste,PB,2512606,QUIXABA,Urbana,Publico,5.3,23.7
2013,Nordeste,PB,2512606,QUIXABA,Urbana,Municipal,5.3,--
2013,Nordeste,PB,2512606,QUIXABA,Urbana,Estadual,--,23.7
2013,Nordeste,PB,2512705,REMIGIO,Total,Total,3.8,13.7
2013,Nordeste,PB,2512705,REMIGIO,Total,Publico,4,13.7
2013,Nordeste,PB,2512705,REMIGIO,Total,Privada,0,--
2013,Nordeste,PB,2512705,REMIGIO,Total,Municipal,4.5,--
2013,Nordeste,PB,2512705,REMIGIO,Total,Estadual,2.9,13.7
2013,Nordeste,PB,2512705,REMIGIO,Rural,Total,3.9,--
2013,Nordeste,PB,2512705,REMIGIO,Rural,Publico,3.9,--
2013,Nordeste,PB,2512705,REMIGIO,Rural,Municipal,3.9,--
2013,Nordeste,PB,2512705,REMIGIO,Urbana,Total,3.7,13.7
2013,Nordeste,PB,2512705,REMIGIO,Urbana,Publico,4.1,13.7
2013,Nordeste,PB,2512705,REMIGIO,Urbana,Privada,0,--
2013,Nordeste,PB,2512705,REMIGIO,Urbana,Municipal,4.6,--
2013,Nordeste,PB,2512705,REMIGIO,Urbana,Estadual,2.9,13.7
2013,Nordeste,PB,2512721,PEDRO REGIS,Total,Total,4.9,14.6
2013,Nordeste,PB,2512721,PEDRO REGIS,Total,Publico,4.9,14.6
2013,Nordeste,PB,2512721,PEDRO REGIS,Total,Municipal,5.6,--
2013,Nordeste,PB,2512721,PEDRO REGIS,Total,Estadual,0,14.6
2013,Nordeste,PB,2512721,PEDRO REGIS,Rural,Total,5.1,--
2013,Nordeste,PB,2512721,PEDRO REGIS,Rural,Publico,5.1,--
2013,Nordeste,PB,2512721,PEDRO REGIS,Rural,Municipal,5.1,--
2013,Nordeste,PB,2512721,PEDRO REGIS,Urbana,Total,4.7,14.6
2013,Nordeste,PB,2512721,PEDRO REGIS,Urbana,Publico,4.7,14.6
2013,Nordeste,PB,2512721,PEDRO REGIS,Urbana,Municipal,6.3,--
2013,Nordeste,PB,2512721,PEDRO REGIS,Urbana,Estadual,0,14.6
2013,Nordeste,PB,2512747,RIACHAO,Total,Total,5.8,17.3
2013,Nordeste,PB,2512747,RIACHAO,Total,Publico,5.8,17.3
2013,Nordeste,PB,2512747,RIACHAO,Total,Municipal,5.8,--
2013,Nordeste,PB,2512747,RIACHAO,Total,Estadual,--,17.3
2013,Nordeste,PB,2512747,RIACHAO,Rural,Total,3,--
2013,Nordeste,PB,2512747,RIACHAO,Rural,Publico,3,--
2013,Nordeste,PB,2512747,RIACHAO,Rural,Municipal,3,--
2013,Nordeste,PB,2512747,RIACHAO,Urbana,Total,6.4,17.3
2013,Nordeste,PB,2512747,RIACHAO,Urbana,Publico,6.4,17.3
2013,Nordeste,PB,2512747,RIACHAO,Urbana,Municipal,6.4,--
2013,Nordeste,PB,2512747,RIACHAO,Urbana,Estadual,--,17.3
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Total,Total,5.5,17.6
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Total,Publico,5.9,17.6
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Total,Privada,1.6,--
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Total,Municipal,3.8,--
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Total,Estadual,12.3,17.6
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Rural,Total,4.6,--
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Rural,Publico,4.6,--
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Rural,Municipal,4.6,--
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Urbana,Total,5.9,17.6
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Urbana,Publico,6.5,17.6
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Urbana,Privada,1.6,--
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Urbana,Municipal,3.2,--
2013,Nordeste,PB,2512754,RIACHAO DO BACAMARTE,Urbana,Estadual,12.3,17.6
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Total,Total,1.5,9.6
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Total,Publico,1.5,9.6
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Total,Municipal,1.5,--
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Total,Estadual,--,9.6
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Rural,Total,0.6,--
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Rural,Publico,0.6,--
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Rural,Municipal,0.6,--
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Urbana,Total,1.9,9.6
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Urbana,Publico,1.9,9.6
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Urbana,Municipal,1.9,--
2013,Nordeste,PB,2512762,RIACHAO DO POCO,Urbana,Estadual,--,9.6
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Total,Total,7.1,2
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Total,Publico,7.1,2
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Total,Municipal,6.6,--
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Total,Estadual,15,2
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Rural,Total,0,--
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Rural,Publico,0,--
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Rural,Municipal,0,--
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Urbana,Total,8.2,2
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Urbana,Publico,8.2,2
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Urbana,Municipal,7.7,--
2013,Nordeste,PB,2512788,RIACHO DE SANTO ANTONIO,Urbana,Estadual,15,2
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Total,Total,8.2,22.8
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Total,Publico,8.2,22.8
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Total,Municipal,3.9,--
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Total,Estadual,18.1,22.8
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Rural,Total,2.5,--
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Rural,Publico,2.5,--
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Rural,Municipal,2.5,--
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Urbana,Total,9.9,22.8
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Urbana,Publico,9.9,22.8
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Urbana,Municipal,4.7,--
2013,Nordeste,PB,2512804,RIACHO DOS CAVALOS,Urbana,Estadual,18.1,22.8
2013,Nordeste,PB,2512903,RIO TINTO,Total,Total,5.1,9.6
2013,Nordeste,PB,2512903,RIO TINTO,Total,Publico,5.4,10.3
2013,Nordeste,PB,2512903,RIO TINTO,Total,Privada,0,0
2013,Nordeste,PB,2512903,RIO TINTO,Total,Municipal,4,--
2013,Nordeste,PB,2512903,RIO TINTO,Total,Estadual,9.2,10.3
2013,Nordeste,PB,2512903,RIO TINTO,Rural,Total,3.4,13
2013,Nordeste,PB,2512903,RIO TINTO,Rural,Publico,3.4,13
2013,Nordeste,PB,2512903,RIO TINTO,Rural,Municipal,1.6,--
2013,Nordeste,PB,2512903,RIO TINTO,Rural,Estadual,12.6,13
2013,Nordeste,PB,2512903,RIO TINTO,Urbana,Total,5.8,9.5
2013,Nordeste,PB,2512903,RIO TINTO,Urbana,Publico,6.4,10.1
2013,Nordeste,PB,2512903,RIO TINTO,Urbana,Privada,0,0
2013,Nordeste,PB,2512903,RIO TINTO,Urbana,Municipal,5.6,--
2013,Nordeste,PB,2512903,RIO TINTO,Urbana,Estadual,8.2,10.1
2013,Nordeste,PB,2513000,SALGADINHO,Total,Total,6.5,15.1
2013,Nordeste,PB,2513000,SALGADINHO,Total,Publico,6.5,15.1
2013,Nordeste,PB,2513000,SALGADINHO,Total,Municipal,6.5,--
2013,Nordeste,PB,2513000,SALGADINHO,Total,Estadual,--,15.1
2013,Nordeste,PB,2513000,SALGADINHO,Rural,Total,1.9,--
2013,Nordeste,PB,2513000,SALGADINHO,Rural,Publico,1.9,--
2013,Nordeste,PB,2513000,SALGADINHO,Rural,Municipal,1.9,--
2013,Nordeste,PB,2513000,SALGADINHO,Urbana,Total,10.4,15.1
2013,Nordeste,PB,2513000,SALGADINHO,Urbana,Publico,10.4,15.1
2013,Nordeste,PB,2513000,SALGADINHO,Urbana,Municipal,10.4,--
2013,Nordeste,PB,2513000,SALGADINHO,Urbana,Estadual,--,15.1
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Total,Total,4.9,15
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Total,Publico,5.4,15
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Total,Privada,1.3,--
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Total,Municipal,0.8,--
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Total,Estadual,14.5,15
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Rural,Total,4,23.4
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Rural,Publico,4.1,23.4
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Rural,Privada,2.5,--
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Rural,Municipal,0.5,--
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Rural,Estadual,13,23.4
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Urbana,Total,6.7,10.6
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Urbana,Publico,8,10.6
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Urbana,Privada,0,--
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Urbana,Municipal,1.6,--
2013,Nordeste,PB,2513109,SALGADO DE SAO FELIX,Urbana,Estadual,16.4,10.6
2013,Nordeste,PB,2513158,SANTA CECILIA,Total,Total,4.3,12.9
2013,Nordeste,PB,2513158,SANTA CECILIA,Total,Publico,4.4,12.9
2013,Nordeste,PB,2513158,SANTA CECILIA,Total,Privada,0,--
2013,Nordeste,PB,2513158,SANTA CECILIA,Total,Municipal,4.9,--
2013,Nordeste,PB,2513158,SANTA CECILIA,Total,Estadual,0.6,12.9
2013,Nordeste,PB,2513158,SANTA CECILIA,Rural,Total,1.3,--
2013,Nordeste,PB,2513158,SANTA CECILIA,Rural,Publico,1.3,--
2013,Nordeste,PB,2513158,SANTA CECILIA,Rural,Municipal,1.3,--
2013,Nordeste,PB,2513158,SANTA CECILIA,Urbana,Total,6.4,12.9
2013,Nordeste,PB,2513158,SANTA CECILIA,Urbana,Publico,6.5,12.9
2013,Nordeste,PB,2513158,SANTA CECILIA,Urbana,Privada,0,--
2013,Nordeste,PB,2513158,SANTA CECILIA,Urbana,Municipal,8.2,--
2013,Nordeste,PB,2513158,SANTA CECILIA,Urbana,Estadual,0.6,12.9
2013,Nordeste,PB,2513208,SANTA CRUZ,Total,Total,3.9,6.7
2013,Nordeste,PB,2513208,SANTA CRUZ,Total,Publico,3.9,6.7
2013,Nordeste,PB,2513208,SANTA CRUZ,Total,Municipal,1.3,--
