UF,Total,Forca_de_Trabalho,ocupados,Desocupados,Trimestre_ID,Ano,Trimestre,Trimestre_Ano,Taxa_Desocupacao,Nivel_Ocupacao,Taxa_Participacao,Fora_da_Forca
Bahia,11380,7246,6303,943,27,2018,3,T3/2018,13.0,55.4,63.7,4134
Minas Gerais,16758,10844,9891,953,27,2018,3,T3/2018,8.8,59.0,64.7,5914
Espírito Santo,3069,1949,1787,162,27,2018,3,T3/2018,8.3,58.2,63.5,1120
Rio de Janeiro,13967,8303,7610,693,27,2018,3,T3/2018,8.3,54.5,59.4,5664
São Paulo,36128,23703,21383,2320,27,2018,3,T3/2018,9.8,59.2,65.6,12425
Paraná,8883,5811,5449,362,27,2018,3,T3/2018,6.2,61.3,65.4,3072
Santa Catarina,5549,3672,3510,163,27,2018,3,T3/2018,4.4,63.3,66.2,1877
Rio Grande do Sul,9136,5994,5575,419,27,2018,3,T3/2018,7.0,61.0,65.6,3142
Mato Grosso do Sul,1987,1326,1242,84,27,2018,3,T3/2018,6.3,62.5,66.7,661
Mato Grosso,2498,1632,1522,110,27,2018,3,T3/2018,6.7,60.9,65.3,866
Goiás,5229,3453,3199,255,27,2018,3,T3/2018,7.4,61.2,66.0,1776
Distrito Federal,2292,1511,1353,157,27,2018,3,T3/2018,10.4,59.0,65.9,781
Rondônia,1278,816,764,53,27,2018,3,T3/2018,6.5,59.8,63.8,462
Acre,584,344,317,27,27,2018,3,T3/2018,7.8,54.3,58.9,240
Amazonas,2727,1659,1505,154,27,2018,3,T3/2018,9.3,55.2,60.8,1068
Roraima,342,221,203,18,27,2018,3,T3/2018,8.1,59.4,64.6,121
Pará,6078,3811,3477,334,27,2018,3,T3/2018,8.8,57.2,62.7,2267
Amapá,549,352,306,46,27,2018,3,T3/2018,13.1,55.7,64.1,197
Tocantins,1115,678,617,61,27,2018,3,T3/2018,9.0,55.3,60.8,437
Maranhão,5036,2873,2632,241,27,2018,3,T3/2018,8.4,52.3,57.0,2163
Piauí,2525,1497,1387,110,27,2018,3,T3/2018,7.3,54.9,59.3,1028
Ceará,6931,3795,3451,344,27,2018,3,T3/2018,9.1,49.8,54.8,3136
Rio Grande do Norte,2688,1533,1344,189,27,2018,3,T3/2018,12.3,50.0,57.0,1155
Paraíba,3043,1729,1562,168,27,2018,3,T3/2018,9.7,51.3,56.8,1314
Pernambuco,7350,4084,3629,455,27,2018,3,T3/2018,11.1,49.4,55.6,3266
Alagoas,2504,1263,1118,145,27,2018,3,T3/2018,11.5,44.6,50.4,1241
Sergipe,1746,1011,909,103,27,2018,3,T3/2018,10.2,52.1,57.9,735
Bahia,11394,7171,6282,889,27,2018,3,T3/2018,12.4,55.1,62.9,4223
Minas Gerais,16836,10813,9798,1016,27,2018,3,T3/2018,9.4,58.2,64.2,6023
Espírito Santo,3096,1953,1773,181,27,2018,3,T3/2018,9.3,57.3,63.1,1143
Rio de Janeiro,13925,8314,7594,721,27,2018,3,T3/2018,8.7,54.5,59.7,5611
São Paulo,36230,24033,21569,2464,27,2018,3,T3/2018,10.3,59.5,66.3,12197
Paraná,8909,5873,5527,345,27,2018,3,T3/2018,5.9,62.0,65.9,3036
Santa Catarina,5579,3693,3536,157,27,2018,3,T3/2018,4.3,63.4,66.2,1886
Rio Grande do Sul,9160,6108,5700,408,27,2018,3,T3/2018,6.7,62.2,66.7,3052
