Estado,UF,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Educação 2016,IDHM Educação 2017,IDHM Educação 2018,IDHM Educação 2019,IDHM Educação 2020,IDHM Educação 2021,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM Renda 2016,IDHM Renda 2017,IDHM Renda 2018,IDHM Renda 2019,IDHM Renda 2020,IDHM Renda 2021,Abandono_EF2012,Abandono_EM2012,Abandono_EF2013,Abandono_EM2013,Abandono_EF2014,Abandono_EM2014,Abandono_EF2015,Abandono_EM2015,Abandono_EF2016,Abandono_EM2016,Abandono_EF2017,Abandono_EM2017,Abandono_EF2018,Abandono_EM2018,Abandono_EF2019,Abandono_EM2019,Abandono_EF2020,Abandono_EM2020,Abandono_EF2021,Abandono_EM2021,Abandono_EF2022,Abandono_EM2022,Abandono_EF2023,Abandono_EM2023,valor_medio_bf_ajustado_2012,qtd_familias_beneficiarias_bolsa_familia_ajustado_2012,valor_medio_bf_ajustado_2013,qtd_familias_beneficiarias_bolsa_familia_ajustado_2013,valor_medio_bf_ajustado_2014,qtd_familias_beneficiarias_bolsa_familia_ajustado_2014,valor_medio_bf_ajustado_2015,qtd_familias_beneficiarias_bolsa_familia_ajustado_2015,valor_medio_bf_ajustado_2016,qtd_familias_beneficiarias_bolsa_familia_ajustado_2016,valor_medio_bf_ajustado_2017,qtd_familias_beneficiarias_bolsa_familia_ajustado_2017,valor_medio_bf_ajustado_2018,qtd_familias_beneficiarias_bolsa_familia_ajustado_2018,valor_medio_bf_ajustado_2019,qtd_familias_beneficiarias_bolsa_familia_ajustado_2019,valor_medio_bf_ajustado_2020,qtd_familias_beneficiarias_bolsa_familia_ajustado_2020,valor_medio_bf_ajustado_2021,qtd_familias_beneficiarias_bolsa_familia_ajustado_2021,valor_medio_bf_ajustado_2023,qtd_familias_beneficiarias_bolsa_familia_ajustado_2023,UF_y,Índice de Atkinson - Educação 2012,Índice de Atkinson - Educação 2013,Índice de Atkinson - Educação 2014,Índice de Atkinson - Educação 2015,Índice de Atkinson - Educação 2016,Índice de Atkinson - Educação 2017,Índice de Atkinson - Educação 2018,Índice de Atkinson - Educação 2019,Índice de Atkinson - Educação 2020,Índice de Atkinson - Educação 2021,Índice de Atkinson - Renda 2012,Índice de Atkinson - Renda 2013,Índice de Atkinson - Renda 2014,Índice de Atkinson - Renda 2015,Índice de Atkinson - Renda 2016,Índice de Atkinson - Renda 2017,Índice de Atkinson - Renda 2018,Índice de Atkinson - Renda 2019,Índice de Atkinson - Renda 2020,Índice de Atkinson - Renda 2021
Mato Grosso do Sul,MS,0.657,0.674,0.671,0.667,0.698,0.708,0.715,0.731,0.747,0.741,0.729,0.735,0.742,0.726,0.741,0.738,0.75,0.752,0.744,0.733,10420,10350,8970,9444,8466,8145,7277,8300,6495,7712,5662,7431,5253,7557,4367,6209,1176,734,1568,1537,2754,4909,1968,3737,286.17,137637.0,262.47,139986.0,260.98,147100.0,250.4,137063.0,234.19,137063.0,235.39,125884.0,229.94,126654.0,231.67,122753.0,73.8,126409.0,117.7,111051.0,6971.67,174399.0,MS,0.193,0.188,0.191,0.192,0.17,0.167,0.16,0.149,0.148,0.143,0.289,0.285,0.285,0.281,0.289,0.308,0.33,0.314,0.307,0.322
Mato Grosso,MT,0.694,0.732,0.736,0.767,0.766,0.757,0.764,0.771,0.765,0.758,0.732,0.738,0.739,0.729,0.725,0.733,0.744,0.738,0.735,0.72,5272,20756,3773,21674,3254,19800,2779,21321,3254,15693,3244,14534,2830,13162,2869,13712,955,980,1946,8370,2506,14991,1014,3426,281.73,177705.0,253.83,181562.0,253.53,187399.0,239.16,171879.0,223.68,171879.0,223.68,158527.0,217.32,159333.0,217.51,153039.0,69.81,157270.0,106.82,138626.0,7084.91,217458.0,MT,0.208,0.205,0.198,0.198,0.218,0.199,0.178,0.16,0.143,0.158,0.31,0.287,0.295,0.287,0.288,0.297,0.301,0.29,0.288,0.302
Minas Gerais,MG,0.683,0.692,0.718,0.727,0.739,0.752,0.748,0.77,0.767,0.762,0.726,0.733,0.739,0.736,0.725,0.731,0.733,0.734,0.729,0.718,50958,76408,41635,69013,35697,59713,34732,52753,31239,53446,30593,60674,27626,64065,14767,34551,46779,54496,19257,24243,19261,48140,16403,35826,276.3,1169368.0,251.74,1165255.0,252.27,1158803.0,242.8,1088998.0,227.08,1088998.0,231.9,1032516.0,231.31,1052237.0,233.49,1021702.0,71.22,1053068.0,117.46,938456.0,6748.51,1354414.0,MG,0.193,0.18,0.174,0.165,0.163,0.157,0.158,0.152,0.144,0.139,0.325,0.319,0.318,0.308,0.326,0.327,0.325,0.322,0.294,0.334
Paraíba,PB,0.601,0.584,0.619,0.644,0.657,0.671,0.658,0.66,0.673,0.669,0.649,0.655,0.671,0.678,0.663,0.682,0.672,0.672,0.664,0.653,38462,21207,30298,17706,27725,17558,24281,15316,25957,17315,21590,16087,16687,13423,12619,8534,13469,3320,9737,4880,11768,13579,6812,9104,287.56,497298.0,280.74,500710.0,286.67,518639.0,282.92,518364.0,264.6,518364.0,269.66,504988.0,263.14,516207.0,259.8,515736.0,73.97,514748.0,130.25,434864.0,6754.71,575202.0,PB,0.289,0.295,0.27,0.268,0.262,0.267,0.265,0.254,0.228,0.244,0.375,0.362,0.368,0.37,0.369,0.385,0.408,0.434,0.368,0.409
Paraná,PR,0.718,0.737,0.747,0.747,0.773,0.764,0.777,0.779,0.791,0.78,0.757,0.761,0.765,0.754,0.756,0.759,0.766,0.764,0.751,0.744,24957,30047,21402,30689,19420,32382,19012,36519,13025,27915,12963,29907,11418,26769,7022,12640,7040,13190,2697,4544,5521,15428,1366,2420,266.25,440669.0,235.38,429424.0,234.97,415693.0,223.47,386257.0,209.0,386257.0,210.15,359168.0,208.61,370897.0,210.51,361275.0,65.8,373361.0,107.13,339128.0,6813.64,503900.0,PR,0.184,0.175,0.171,0.169,0.174,0.169,0.155,0.144,0.139,0.133,0.299,0.299,0.284,0.286,0.295,0.312,0.323,0.313,0.313,0.314
Pará,PA,0.583,0.592,0.623,0.638,0.641,0.657,0.671,0.677,0.713,0.686,0.658,0.66,0.66,0.656,0.646,0.647,0.667,0.651,0.664,0.645,72942,59188,68039,59092,65871,57917,64920,60476,58635,49561,53812,43813,51832,45994,41136,35984,23698,2481,43089,61090,42409,39785,22639,1297,319.08,796224.0,300.43,824177.0,301.62,881202.0,290.91,908683.0,272.07,908683.0,275.13,910474.0,264.16,950795.0,258.82,960085.0,76.55,954845.0,127.24,802408.0,7085.37,1127172.0,PA,0.217,0.22,0.199,0.204,0.199,0.196,0.188,0.186,0.172,0.17,0.385,0.367,0.348,0.367,0.363,0.354,0.416,0.394,0.332,0.392
Pernambuco,PE,0.616,0.641,0.656,0.678,0.69,0.684,0.719,0.718,0.729,0.721,0.673,0.685,0.698,0.688,0.677,0.671,0.669,0.68,0.667,0.647,53644,29038,42505,18173,38460,12285,29215,8386,27926,5790,23693,5286,16925,4079,11558,4692,16475,1029,7499,4783,9973,5130,4918,3046,281.69,1132603.0,263.56,1133988.0,264.7,1149017.0,257.13,1126038.0,240.48,1126038.0,245.0,1117378.0,238.29,1157608.0,236.74,1160901.0,66.57,1161568.0,108.02,987867.0,6746.49,1381468.0,PE,0.259,0.252,0.24,0.245,0.247,0.232,0.219,0.226,0.203,0.208,0.42,0.409,0.408,0.413,0.406,0.405,0.403,0.438,0.395,0.44
Piauí,PI,0.6,0.623,0.639,0.643,0.642,0.665,0.671,0.692,0.7,0.698,0.635,0.666,0.665,0.668,0.655,0.653,0.658,0.657,0.659,0.649,19258,26364,14932,19852,15595,18875,12668,16855,12931,14556,10254,13419,8642,12161,6112,9273,7329,6667,6438,5964,5882,10281,2196,2573,293.66,447992.0,300.73,448424.0,305.65,453800.0,297.01,449346.0,277.78,449346.0,282.32,438373.0,273.83,450651.0,271.02,449245.0,76.74,448900.0,138.39,381581.0,6767.0,515946.0,PI,0.302,0.29,0.276,0.265,0.269,0.26,0.252,0.26,0.249,0.245,0.354,0.376,0.359,0.363,0.376,0.395,0.403,0.42,0.338,0.391
Rio de Janeiro,RJ,0.703,0.715,0.736,0.752,0.757,0.762,0.781,0.78,0.781,0.758,0.756,0.757,0.764,0.758,0.761,0.757,0.774,0.783,0.77,0.759,38166,44637,33337,34022,36720,33571,29049,20994,32755,40840,26253,23505,26043,24635,19763,33364,23616,3000,17509,11045,15687,31599,11671,23302,281.4,763117.0,257.86,812242.0,258.14,840944.0,247.38,813710.0,231.36,813710.0,238.0,778240.0,235.38,838498.0,237.0,860345.0,66.85,909064.0,110.56,808778.0,6730.52,1497902.0,RJ,0.137,0.13,0.127,0.121,0.131,0.122,0.105,0.109,0.1,0.102,0.358,0.344,0.335,0.335,0.354,0.359,0.382,0.39,0.389,0.423
Rio Grande do Norte,RN,0.617,0.642,0.668,0.683,0.676,0.677,0.69,0.689,0.71,0.68,0.658,0.67,0.676,0.687,0.687,0.672,0.686,0.693,0.695,0.692,23988,24372,20077,20664,17258,13561,16543,13981,15391,10630,14269,11616,12158,10715,9188,9381,7180,748,16565,19720,8945,13384,6557,10328,281.35,356772.0,265.64,358438.0,268.19,362282.0,256.87,353139.0,240.24,353139.0,244.77,339050.0,240.46,350172.0,240.99,351142.0,65.8,356898.0,113.83,306257.0,6694.12,424643.0,RN,0.239,0.248,0.239,0.22,0.229,0.218,0.213,0.211,0.189,0.191,0.349,0.351,0.361,0.367,0.379,0.394,0.412,0.428,0.36,0.447
Rio Grande do Sul,RS,0.674,0.691,0.699,0.717,0.722,0.727,0.736,0.735,0.739,0.75,0.767,0.773,0.777,0.776,0.772,0.776,0.775,0.783,0.774,0.767,19022,41458,17074,35270,16497,31331,14715,27349,12048,23615,13233,26073,11689,25017,11527,17778,3808,21285,18870,32558,12635,34683,10046,26901,277.27,453648.0,250.48,451120.0,250.3,444307.0,236.52,400396.0,221.2,400396.0,223.82,358091.0,220.25,365414.0,221.65,349612.0,71.12,367423.0,112.88,332528.0,6767.95,514538.0,RS,0.138,0.128,0.126,0.12,0.121,0.119,0.111,0.112,0.106,0.101,0.307,0.294,0.294,0.284,0.297,0.301,0.315,0.302,0.295,0.301
Rondônia,RO,0.637,0.612,0.627,0.664,0.691,0.699,0.705,0.707,0.743,0.694,0.692,0.694,0.691,0.689,0.686,0.693,0.71,0.705,0.704,0.677,7709,7563,6996,6827,6799,6066,5823,6029,5263,4386,3540,3874,3775,3932,2872,3449,5305,1441,2693,3456,2608,4752,1591,2784,291.36,114948.0,258.97,115917.0,253.53,115979.0,228.27,98422.0,213.49,98422.0,207.89,85863.0,200.58,82696.0,197.91,77406.0,54.38,80247.0,80.91,70100.0,6947.69,105609.0,RO,0.222,0.22,0.232,0.211,0.218,0.2,0.19,0.175,0.155,0.181,0.345,0.322,0.289,0.306,0.316,0.299,0.329,0.321,0.282,0.326
Roraima,RR,0.746,0.735,0.757,0.758,0.771,0.764,0.774,0.767,0.759,0.673,0.717,0.723,0.712,0.719,0.714,0.697,0.723,0.696,0.68,0.68,3055,2358,2569,1841,2227,1886,2658,2116,1945,1640,1779,1759,1932,1731,1943,1675,729,194,1547,1282,2034,2483,1444,1196,326.47,46429.0,299.1,46408.0,304.06,47412.0,293.52,48845.0,274.52,48845.0,283.89,45530.0,273.4,46409.0,271.66,47421.0,86.81,50181.0,152.57,43082.0,7588.3,59093.0,RR,0.191,0.186,0.181,0.182,0.209,0.179,0.177,0.161,0.143,0.156,0.397,0.369,0.361,0.368,0.376,0.38,0.452,0.434,0.402,0.447
Santa Catarina,SC,0.74,0.757,0.768,0.769,0.785,0.778,0.78,0.794,0.79,0.79,0.764,0.768,0.769,0.769,0.763,0.772,0.772,0.776,0.763,0.759,6811,17576,5735,20086,3998,18471,4189,17920,3353,14117,3374,13970,4260,12854,3461,12387,1753,9168,3601,19724,2769,13232,2824,11750,279.09,141717.0,250.62,142831.0,250.24,139213.0,237.95,125737.0,222.54,125737.0,225.92,116523.0,224.93,119249.0,226.62,115589.0,76.42,124992.0,125.56,115584.0,6934.58,191152.0,SC,0.139,0.13,0.134,0.127,0.133,0.121,0.118,0.116,0.105,0.116,0.261,0.25,0.235,0.243,0.255,0.254,0.252,0.252,0.25,0.256
São Paulo,SP,0.792,0.8,0.813,0.811,0.837,0.826,0.829,0.849,0.847,0.839,0.782,0.787,0.79,0.782,0.787,0.781,0.791,0.791,0.781,0.771,52250,86727,51058,88925,49839,80988,37562,59231,37406,69755,31658,59480,26838,52485,21637,31038,10828,6132,32381,54267,21519,58702,21373,51316,270.35,1220420.0,242.69,1294086.0,246.12,1329299.0,233.53,1455910.0,218.41,1455910.0,221.15,1463343.0,217.6,1552288.0,219.87,1502274.0,67.34,1546064.0,111.7,1394844.0,6816.14,2167967.0,SP,0.141,0.136,0.134,0.13,0.127,0.118,0.115,0.111,0.104,0.104,0.318,0.314,0.312,0.309,0.334,0.343,0.343,0.329,0.338,0.352
Sergipe,SE,0.607,0.598,0.625,0.633,0.625,0.639,0.66,0.639,0.682,0.684,0.679,0.685,0.688,0.68,0.683,0.67,0.676,0.682,0.687,0.662,17443,11202,15351,10522,15407,11125,14796,10961,13182,9579,10369,8320,8282,6625,6571,4815,3549,1553,4489,2579,5346,3909,2753,2174,287.72,262030.0,264.2,266488.0,259.55,278452.0,244.84,271593.0,228.98,271593.0,231.19,270184.0,223.24,284590.0,219.7,287885.0,62.1,284520.0,96.25,239099.0,6726.66,330688.0,SE,0.254,0.259,0.245,0.244,0.253,0.237,0.232,0.221,0.202,0.195,0.432,0.403,0.389,0.365,0.435,0.42,0.453,0.45,0.378,0.426
